ra,dec
151.71875505452425,-8.35283369995619
151.71875505452425,-8.35283369995619
151.65414518654615,-8.485125397343527
151.70481432509098,-8.351456447884516
151.64507540422287,-8.471980330233684
151.53845545568532,-8.40732161917398
151.53845545568532,-8.40732161917398
151.51142479699547,-8.584226623457575
151.51142479699547,-8.584226623457575
151.5099455606038,-8.60789652543892
151.5099455606038,-8.60789652543892
151.4739975934898,-7.880269031196109
151.4153657721698,-8.393687826162443
151.4153657721698,-8.393687826162443
151.4153657721698,-8.393687826162443
151.41198748891506,-7.783892176822595
151.41198748891506,-7.783892176822595
151.40531883001933,-7.808901752141922
151.39607252798672,-7.749808254059596
150.570737579661,-7.958284230609243
150.570737579661,-7.958284230609243
150.4922545280663,-8.854916164695883
150.50438714694192,-8.310165625478763
150.40414522185668,-7.875135796108997
150.2288603049395,-8.530471553388159
150.2230932503042,-8.373117097306192
150.00354925360188,-7.688028455630038
152.59964152714798,-6.996753458719103
152.4812222285275,-7.324913782166037
152.16123264731195,-6.205488142528915
151.83428581910965,-7.263197109296415
151.6110082622166,-7.549281446916783
151.64000329589368,-7.5091810531262775
151.55261087939024,-7.500668015470873
151.39996515425824,-7.756255778993347
151.39996515425824,-7.756255778993347
151.3867023613909,-6.572325009625912
151.30001616980422,-7.549097150243207
151.25637479610802,-6.739403931513239
151.22586087665098,-6.708801380669966
151.02971120823764,-6.796405588448377
150.98525157371455,-6.757738786978946






























































































































































































































































































































































































































































































































































































































































































































































































































































































































































































